,Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Latitude,Longitude
715,Singh's BarbeQ And Currys,"North Indian,Chinese,Biryani",3.7,400,Wardhaman Nagar,Wardhaman Nagar,"Plot 233, Kalamna Market Road, Wardhaman Nagar, Nagpur",False,,
716,Maharashtrian Mejwani Roti Paratha.Com,"Maharashtrian,North Indian,Home Food",4.1,250,Ayodhya Nagar,Ayodhya Nagar,"Babulkheda, Parvati Nagar, Nagpur",True,21.1205917,79.11011712375097
717,Biryani Corner,"Biryani,North Indian,Tandoor",,250,Ayodhya Nagar,Ayodhya Nagar,"36, MAHALAXMI NAGAR NO. 2, MANEWADA ROAD, NAGPUR",False,21.1205917,79.11011712375097
718,Anvi's Kitchen,"South Indian,Chinese",,300,Aaasinagar,Sadar,"Shop No.4, Rachana Gokul Appartment, Nagpur Municipal Corporation Zone 09  Aaasinagar, Nagpur, Maharashtra - 440030",False,21.1592054,79.0795595
719,Dinshaws Ice Cream Parlour,"Ice Cream,Desserts",,200,Pratap Nagar,Pratap Nagar,"Plot no.208, Sindhi Colony, Khamla, Nagpur  440022",False,21.1137148,79.0567838
720,Arohi Food,"North Indian,Biryani",2.5,200,Ayodhya Nagar,Ayodhya nagar,"Near dadasaheb khadse high school, Ayodhya nagar, Nagpur",False,21.1205917,79.11011712375097
721,Biryani And Shawarma By MrKyt,"Biryani,Snacks,Arabian,Lebanese",,225,Narendra Nagar,Manish Nagar,"laxmi niwas , borkute layout, Narendra nagar",False,21.1236132,79.0855402
722,Swad Paratha Centre,"North Indian,Chinese",2.9,200,Nagpur,Manewada Square,2nd floar scorpion gym plot no. 36 mahalaxmi nagar 2 manewada road nagpur maharashtra 440027,False,21.1051881,79.1024825
723,RX Hideout Cafe,Indian,3.5,300,Wardhaman nagar,Kharib,"House 370/180, Padole Nagar, Wathoda Road , Nandanvan, Kharib, Nagpur",False,,
724,Craving Windows,"Fast Food,North Indian,Italian,Chinese",,250,Bajaj Nagar,Bajaj Nagar,"Plot No. 1, South Ambazari Road, Shradhanan Peth, Above Burger Singh Sq, Nagpur",False,21.1275893,79.0615901
725,The Kebab Factory,"Indian,Kebabs,North Indian,Tandoor,Snacks,Chinese",,250,Pratap Nagar,Pratap Nagar,"Shop no,11-12 Galaxy-Mersh Complex, Pratap Nagar Main Rd,Pratap Nagar, Nagpur,Maharashtra 440022",False,21.1137148,79.0567838
726,CAFE BONJOUR MAMA,"Beverages,Fast Food,Chinese,Desserts",,150,Wardhaman Nagar,Wardhaman Nagar,"277, SATNAMI LAYOUT, NAGPUR,, Zone  no.3 -Neharunagar, Nagpur urban,  Nagpur-1, Maharashtra - 440008",True,,
727,ESSENCE BAKERY & CAFE,"Desserts,Snacks,Beverages",,200,Pratap Nagar,Pratap Nagar,PLOT NO 50 NEAR POST OFFICE GITTIKHADAN LAYOUT PRATAP NAGAR NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR MAHARASHTRA,False,21.1137148,79.0567838
